acumulado,acumulado_anterior,acumulado_2018,acumulado_2019,acumulado_2020,color_cambio_acumulado_2019_2020,cambio_acumulado_2019_2020,cambio_acumulado_vs_acumulado_anterior,cambio_mes_tot_vs_diciembre_tot,cambio_mes_tot_vs_mes_year_anterior_tot,cambio_mes_vs_mes_anterior,cambio_prom_cambio_anual,cambio_promedio_year_actual,cambio_promedio_year_anterior,color_cambio_acumulado_vs_acumulado_anterior,color_cambio_mes_tot_vs_diciembre_tot,color_cambio_mes_tot_vs_mes_year_anterior_tot,color_cambio_mes_vs_mes_ant,color_cambio_prom_cambio_anual,color_cambio_promedio_year_actual,color_cambio_promedio_year_anterior,diciembre_tot,id_delito_general,cve_delito,mes,mes_anterior_tot,mes_tot,mes_year_anterior_tot,year,geo_alcaldia,nomgeo
60.0,41.0,454.0,410.0,283.0,2.0,-30.975609756097562,46.34146341463415,0.0,46.34146341463415,-11.76470588235294,48.11611859074411,0.027710879530858656,0.01870888853591005,4.0,0.0,6.0,2.0,4.0,4.0,4.0,60.0,7,Robo a casa habitación sin violencia,12,68.0,60.0,41.0,2018,09005,Gustavo A. Madero
668.0,,454.0,410.0,283.0,2.0,-30.975609756097562,,-6.666666666666667,-6.666666666666667,21.73913043478261,48.11611859074411,0.027710879530858656,0.01870888853591005,0.0,3.0,3.0,6.0,4.0,4.0,4.0,60.0,7,Robo a casa habitación sin violencia,12,46.0,56.0,60.0,2019,09005,Gustavo A. Madero
107.0,72.0,760.0,666.0,498.0,3.0,-25.225225225225223,48.61111111111111,0.0,48.61111111111111,4.901960784313726,69.75089412708971,-0.02619685032595915,-0.0154325256786842,4.0,0.0,6.0,6.0,6.0,2.0,2.0,107.0,8,Robo de vehículo sin violencia,12,102.0,107.0,72.0,2018,09005,Gustavo A. Madero
1137.0,,760.0,666.0,498.0,3.0,-25.225225225225223,,-26.168224299065418,-26.168224299065418,-16.842105263157894,69.75089412708971,-0.02619685032595915,-0.0154325256786842,0.0,2.0,2.0,2.0,6.0,2.0,2.0,107.0,8,Robo de vehículo sin violencia,12,95.0,79.0,107.0,2019,09005,Gustavo A. Madero
94.0,40.0,557.0,593.0,370.0,2.0,-37.60539629005059,135.0,0.0,135.0,44.61538461538462,315.9463767491709,-0.05317416404826407,-0.012783898843847799,6.0,0.0,6.0,6.0,6.0,2.0,2.0,94.0,9,Robo de vehículo con violencia,12,65.0,94.0,40.0,2018,09005,Gustavo A. Madero
889.0,,557.0,593.0,370.0,2.0,-37.60539629005059,,-44.680851063829785,-44.680851063829785,40.54054054054054,315.9463767491709,-0.05317416404826407,-0.012783898843847799,0.0,1.0,1.0,6.0,6.0,2.0,2.0,94.0,9,Robo de vehículo con violencia,12,37.0,52.0,94.0,2019,09005,Gustavo A. Madero
7.0,7.0,21.0,29.0,36.0,4.0,24.137931034482758,0.0,-25.0,0.0,-25.0,-91.14035087719297,0.06011904761904762,0.6785714285714285,0.0,2.0,0.0,2.0,2.0,4.0,6.0,4.0,1,Homicidio doloso,1,4.0,3.0,3.0,2019,09002,Azcapotzalco
56.0,,21.0,29.0,36.0,4.0,24.137931034482758,,0.0,33.33333333333333,-20.0,-91.14035087719297,0.06011904761904762,0.6785714285714285,0.0,0.0,6.0,2.0,2.0,4.0,6.0,4.0,1,Homicidio doloso,1,5.0,4.0,3.0,2020,09002,Azcapotzalco
15.0,10.0,31.0,34.0,31.0,2.0,-8.823529411764707,50.0,-63.63636363636363,-20.0,-63.63636363636363,1423.2292917166853,0.22886904761904764,0.015025252525252539,6.0,1.0,2.0,1.0,5.0,6.0,4.0,11.0,10,Lesiones dolosas por disparo de arma de fuego,1,11.0,4.0,5.0,2019,09002,Azcapotzalco
65.0,,31.0,34.0,31.0,2.0,-8.823529411764707,,-90.9090909090909,-75.0,-75.0,1423.2292917166853,0.22886904761904764,0.015025252525252539,0.0,1.0,1.0,1.0,5.0,6.0,4.0,11.0,10,Lesiones dolosas por disparo de arma de fuego,1,4.0,1.0,4.0,2020,09002,Azcapotzalco
174.0,156.0,1037.0,483.0,319.0,2.0,-33.95445134575569,11.538461538461538,-29.411764705882355,-45.86466165413533,-29.411764705882355,-224.49736240091397,0.0764772875681195,-0.06142884161822054,4.0,2.0,1.0,2.0,2.0,6.0,1.0,102.0,11,Robo a transeúnte en vía pública,1,102.0,72.0,133.0,2019,09002,Azcapotzalco
799.0,,1037.0,483.0,319.0,2.0,-33.95445134575569,,-50.98039215686274,-30.555555555555557,51.515151515151516,-224.49736240091397,0.0764772875681195,-0.06142884161822054,0.0,1.0,2.0,6.0,2.0,6.0,1.0,102.0,11,Robo a transeúnte en vía pública,1,33.0,50.0,72.0,2020,09002,Azcapotzalco
49.0,11.0,71.0,125.0,114.0,3.0,-8.799999999999999,345.45454545454544,72.22222222222221,244.44444444444446,72.22222222222221,-150.21137144249332,-0.04042011641179599,0.08049992511773718,5.0,6.0,5.0,6.0,2.0,2.0,4.0,18.0,12,Robo a repartidor,1,18.0,31.0,9.0,2019,09002,Azcapotzalco
224.0,,71.0,125.0,114.0,3.0,-8.799999999999999,,0.0,-41.935483870967744,-5.263157894736842,-150.21137144249332,-0.04042011641179599,0.08049992511773718,0.0,0.0,2.0,3.0,2.0,2.0,4.0,18.0,12,Robo a repartidor,1,19.0,18.0,31.0,2020,09002,Azcapotzalco
69.0,34.0,138.0,198.0,75.0,1.0,-62.121212121212125,102.94117647058823,-8.333333333333332,32.0,-8.333333333333332,-475.3708576337533,0.060397086466165414,-0.016089977481708085,6.0,2.0,6.0,2.0,1.0,4.0,2.0,36.0,13,Robo a negocio con violencia,1,36.0,33.0,25.0,2019,09002,Azcapotzalco
326.0,,138.0,198.0,75.0,1.0,-62.121212121212125,,-47.22222222222222,-42.42424242424242,-5.0,-475.3708576337533,0.060397086466165414,-0.016089977481708085,0.0,2.0,2.0,3.0,1.0,4.0,2.0,36.0,13,Robo a negocio con violencia,1,20.0,19.0,33.0,2020,09002,Azcapotzalco
7.0,4.0,15.0,20.0,14.0,2.0,-30.0,75.0,-60.0,-33.33333333333333,-60.0,-65.62499999999999,0.0625,0.18181818181818177,6.0,1.0,2.0,1.0,3.0,4.0,6.0,5.0,15,Robo a cuentahabiente,1,5.0,2.0,3.0,2019,09002,Azcapotzalco
35.0,,15.0,20.0,14.0,2.0,-30.0,,-40.0,50.0,50.0,-65.62499999999999,0.0625,0.18181818181818177,0.0,2.0,6.0,6.0,3.0,4.0,6.0,5.0,15,Robo a cuentahabiente,1,2.0,3.0,2.0,2020,09002,Azcapotzalco
4.0,2.0,9.0,10.0,9.0,2.0,-10.0,100.0,-66.66666666666666,0.0,-66.66666666666666,125.00000000000004,-0.16666666666666666,-0.07407407407407406,6.0,1.0,0.0,1.0,6.0,1.0,1.0,3.0,16,Robo a transportista,1,3.0,1.0,1.0,2019,09002,Azcapotzalco
21.0,,9.0,10.0,9.0,2.0,-10.0,,-66.66666666666666,0.0,-50.0,125.00000000000004,-0.16666666666666666,-0.07407407407407406,0.0,1.0,0.0,1.0,6.0,1.0,1.0,3.0,16,Robo a transportista,1,2.0,1.0,1.0,2020,09002,Azcapotzalco
27.0,7.0,70.0,80.0,137.0,6.0,71.25,285.7142857142857,-7.142857142857142,160.0,-7.142857142857142,289.00275392600577,0.24368085618085616,0.06264245014245014,6.0,3.0,6.0,2.0,6.0,6.0,4.0,14.0,17,Robo a conductor/pasajero de vehículo,1,14.0,13.0,5.0,2019,09002,Azcapotzalco
