name,host_id,host_name,alcaldia,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,Homicidio doloso,Lesiones dolosas por disparo de arma de fuego,Robo a bordo de Metrobús,Robo a casa habitación con violencia,Robo a casa habitación sin violencia,Robo a conductor/pasajero de vehículo,Robo a cuentahabiente,Robo a negocio con violencia,Robo a pasajero a bordo de microbús,Robo a pasajero a bordo de taxi,Robo a pasajero a bordo del Metro,Robo a repartidor,Robo a transeúnte en vía pública,Robo a transportista,Robo de vehículo con violencia,Robo de vehículo sin violencia,Total delitos alto impacto,Total delitos bajo impacto
Escala de Altura (High Layover),320949649,Eduardo,Venustiano Carranza,19.425,-99.09638,Private room,727,1,37,2020-09-27,3.79,1,179,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Amplio departamento cercano al centro histórico,224986521,Carol,Venustiano Carranza,19.43694,-99.10997,Entire home/apt,399,7,2,2020-10-15,1.36,2,356,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Estancia cómoda a 15min a pie del Aeropuerto,215259572,Virginia,Venustiano Carranza,19.43559,-99.09526,Private room,260,1,8,2020-03-13,0.79,2,365,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Apartamento cerca del aeropuerto / 10 min,61659987,Leticia,Venustiano Carranza,19.44888,-99.09569,Private room,210,1,11,2020-03-16,1.09,1,365,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
!casa para descansar entre vuelos!,321819129,Alberto,Venustiano Carranza,19.44313,-99.0795,Entire home/apt,4000,1,1,2020-02-16,0.12,2,299,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
!Habitación para descansar entre vuelos!,321819129,Alberto,Venustiano Carranza,19.44105,-99.07737,Private room,900,1,1,2020-02-17,0.12,2,253,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Departamento privado seguro,304327746,Nidia,Venustiano Carranza,19.40906,-99.07858,Entire home/apt,1000,2,4,2020-03-11,0.43,2,177,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Casa cálida,325424587,Magdiela,Venustiano Carranza,19.41167,-99.11239,Private room,270,2,3,2020-03-16,0.32,2,180,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Excelente departamento!👍frente al Aeropuerto✈️T1.,225774726,Liz,Venustiano Carranza,19.43489,-99.08372,Entire home/apt,504,1,32,2020-10-24,4.19,1,265,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Residencial Boturini,261911279,Rafael,Venustiano Carranza,19.41534,-99.12498,Private room,400,1,3,2020-03-16,0.33,1,179,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Bonitas recamaras con una cama individual cada una,325424587,Magdiela,Venustiano Carranza,19.4115,-99.1125,Private room,270,2,2,2020-03-31,0.25,2,180,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
