cve_geo,date,day_month,delitos,dia_periodo,pct_chg_before,pct_chg_yrprev,val_dia,val_dia_before,val_dia_yrprev
09009,2019-11-01,11-01,8,47.0,20.0,20.0,6.0,,
09009,2019-12-01,12-01,8,48.0,20.0,20.0,3.0,,
09009,2020-01-01,2020-01-01,8,49.0,20.0,20.0,6.0,,
09009,2020-02-01,2020-02-01,8,50.0,20.0,20.0,2.0,,
09009,2020-03-01,2020-03-01,8,51.0,20.0,20.0,7.0,,
09009,2020-04-01,2020-04-01,8,52.0,20.0,20.0,0.0,,
09009,2020-05-01,2020-05-01,8,53.0,20.0,20.0,0.0,,
09009,2020-06-01,2020-06-01,8,54.0,20.0,20.0,4.0,,
09009,2020-07-01,2020-07-01,8,55.0,20.0,20.0,5.0,,
09009,2020-08-01,2020-08-01,8,56.0,20.0,20.0,6.0,,
09009,2016-01-01,01-01,21,1.0,,,0.0,,
09009,2016-02-01,02-01,21,2.0,,,0.0,,
09009,2016-03-01,03-01,21,3.0,,,0.0,,
09009,2016-04-01,04-01,21,4.0,,,0.0,,
09009,2016-05-01,05-01,21,5.0,,,0.0,,
09009,2016-06-01,06-01,21,6.0,,,0.0,,
09009,2016-07-01,07-01,21,7.0,,,0.0,,
09009,2016-08-01,08-01,21,8.0,,,0.0,,
09009,2016-09-01,09-01,21,9.0,,,0.0,,
09009,2016-10-01,10-01,21,10.0,,,0.0,,
09009,2016-11-01,11-01,21,11.0,,,0.0,,
09009,2016-12-01,12-01,21,12.0,,,0.0,,
09009,2017-01-01,01-01,21,13.0,,,0.0,,
09009,2017-02-01,02-01,21,14.0,,,0.0,,
09009,2017-03-01,03-01,21,15.0,,,0.0,,
09009,2017-04-01,04-01,21,16.0,,,0.0,,
